id	x	y	z	longitude	latitude
98783	12.85153904930904	-5.653711908338195	62.44096	-23.74588894698968	77.32751301181817
98791	10.099361690168378	-9.687647393003072	62.4512	-43.80800134729225	77.36936886128524
98799	6.1431485759185644	-12.523188040614473	62.46144	-63.87011374759555	77.41136160709748
98804	11.88037475081668	-7.254354658724455	62.46784	-31.408933997784402	77.43767720084843
98812	8.642290747722834	-10.853586050030854	62.47808	-51.471046398087765	77.47989534576999
98825	10.712850885349908	-8.697401797655292	62.49472	-39.071979048579976	77.54880024568826
98833	7.05542951370017	-11.804697784170882	62.50496	-59.134091448883225	77.59139042197909
98838	12.262946994629646	-6.16035729136737	62.51136	-26.672911699072188	77.61808250462659
98846	9.373580781428224	-9.95919257641097	62.5216	-46.73502409937544	77.66090805744008
98854	5.369939951096165	-12.527279478642638	62.53184	-66.79713649967795	77.7038804434415
98859	11.230384160542568	-7.671180437783651	62.53824	-34.33595674986765	77.73081343387133
98867	7.889966464405675	-11.019803940186696	62.54848	-54.39806915017016	77.77402773142678
98872	12.544409772171596	-5.052204632974209	62.55488	-21.93688940035986	77.80111321838639
98880	10.014864539293441	-9.017108607818965	62.56512	-41.99900180066237	77.84457362558645
98888	6.291643376325735	-11.863369862544797	62.57536	-62.06111420096488	77.88818762434447
98893	11.650049373526123	-6.618131526103353	62.58176	-29.59993445115458	77.91552510809426
98901	8.641847525755386	-10.176443747282043	62.592	-49.66204685145709	77.95939225883437
98914	10.563084630699894	-8.036133425663838	62.60864	-37.2629795019493	78.03101419850293
98922	7.139298425840833	-11.131320026501221	62.61888	-57.32509190225255	78.07529991322782
98927	11.97078319928516	-5.547490830755185	62.62528	-24.863912152441515	78.10306098145863
98935	9.306928108060438	-9.282926452417605	62.63552	-44.926024552744764	78.1476119837734
98943	5.537123218244685	-11.867983000003639	62.64576	-64.98813695304807	78.19232866485066
98948	11.016012529771368	-7.025262648351295	62.65216	-32.526957203236975	78.22036156249102
98956	7.90774838421122	-10.338817230805711	62.6624	-52.58906960354028	78.26535151817555
98961	12.192373117079232	-4.4685058278941305	62.6688	-20.127889853729187	78.29355680739967
98964	3.8665738378944545	-12.376986797541223	62.67264	-72.65118200384279	78.31051219079298
98969	9.881858713598222	-8.347862782945283	62.67904	-40.190002254032436	78.33882518450665
98977	6.393932626069658	-11.18802031884472	62.68928	-60.252114654335	78.38426752643151
98982	11.372260408219946	-5.993613479799375	62.69568	-27.790934904524704	78.4127582408999
98990	8.592584628327767	-9.493949987156318	62.70592	-47.853047304827214	78.45848766604631
98998	4.795513967623494	-11.8188967607272	62.71616	-67.91515970512972	78.50439652429905
